index,Date,Year,Opponent,H/A,Rank,GB,D/N,Attendance
90,"Saturday, Jul 14",2012,Boston Red Sox,,3,8.5,N,27311
91,"Sunday, Jul 15",2012,Boston Red Sox,,3,8.5,D,26131
92,"Monday, Jul 16",2012,Cleveland Guardians,,3,9.5,N,14337
93,"Tuesday, Jul 17",2012,Cleveland Guardians,,2,9.5,N,15712
94,"Wednesday, Jul 18",2012,Cleveland Guardians,,3,10.5,N,15143
95,"Thursday, Jul 19",2012,Cleveland Guardians,,3,9.5,D,27856
96,"Friday, Jul 20",2012,Seattle Mariners,,3,8.5,N,14143
97,"Saturday, Jul 21",2012,Seattle Mariners,,3,8.5,N,18800
98,"Sunday, Jul 22",2012,Seattle Mariners,,3,8.5,D,20908
99,"Tuesday, Jul 24",2012,Baltimore Orioles,@,3,8.0,N,17592
100,"Wednesday, Jul 25",2012,Baltimore Orioles,@,2,8.0,N,19582
101,"Thursday, Jul 26",2012,Baltimore Orioles,@,3,8.5,D,21301
102,"Friday, Jul 27",2012,Los Angeles Angels,@,3,9.5,N,40136
103,"Saturday, Jul 28",2012,Los Angeles Angels,@,2,8.5,N,41232
104,"Sunday, Jul 29",2012,Los Angeles Angels,@,2,7.5,D,35477
105,"Monday, Jul 30",2012,Oakland Athletics,@,3,7.5,N,12564
106,"Tuesday, Jul 31",2012,Oakland Athletics,@,3,6.5,N,15836
108,"Wednesday, Aug 1",2012,Oakland Athletics,@,2,6.5,D,18161
109,"Friday, Aug 3",2012,Baltimore Orioles,,2,6.5,N,18410
110,"Saturday, Aug 4",2012,Baltimore Orioles,,2,6.5,N,20612
111,"Sunday, Aug 5",2012,Baltimore Orioles,,3,7.5,D,29530
112,"Tuesday, Aug 7",2012,Toronto Blue Jays,,3,6.0,N,13823
113,"Wednesday, Aug 8",2012,Toronto Blue Jays,,3,6.0,N,13441
114,"Thursday, Aug 9",2012,Toronto Blue Jays,,3,6.0,D,23462
115,"Friday, Aug 10",2012,Minnesota Twins,@,3,6.0,N,38108
116,"Saturday, Aug 11",2012,Minnesota Twins,@,2,6.0,N,39512
117,"Sunday, Aug 12",2012,Minnesota Twins,@,2,5.0,D,35327
118,"Monday, Aug 13",2012,Seattle Mariners,@,2,5.0,N,16205
119,"Tuesday, Aug 14",2012,Seattle Mariners,@,2,6.0,N,17065
120,"Wednesday, Aug 15",2012,Seattle Mariners,@,3,7.0,D,21889
121,"Thursday, Aug 16",2012,Los Angeles Angels,@,2,6.0,N,38591
122,"Friday, Aug 17",2012,Los Angeles Angels,@,2,6.0,N,37298
123,"Saturday, Aug 18",2012,Los Angeles Angels,@,2,5.0,N,41086
124,"Sunday, Aug 19",2012,Los Angeles Angels,@,2,5.0,D,36789
125,"Monday, Aug 20",2012,Kansas City Royals,,2,4.0,N,9913
126,"Tuesday, Aug 21",2012,Kansas City Royals,,2,4.0,N,10877
127,"Wednesday, Aug 22",2012,Kansas City Royals,,2,3.0,D,11892
128,"Thursday, Aug 23",2012,Oakland Athletics,,2,2.5,N,11613
129,"Friday, Aug 24",2012,Oakland Athletics,,2,3.5,N,18913
130,"Saturday, Aug 25",2012,Oakland Athletics,,2,3.5,D,18187
131,"Monday, Aug 27",2012,Texas Rangers,@,3,4.0,N,29453
132,"Tuesday, Aug 28",2012,Texas Rangers,@,3,5.0,N,30700
133,"Wednesday, Aug 29",2012,Texas Rangers,@,3,4.0,N,36176
134,"Thursday, Aug 30",2012,Toronto Blue Jays,@,3,4.5,N,22711
135,"Friday, Aug 31",2012,Toronto Blue Jays,@,3,4.5,N,20158
137,"Saturday, Sep 1",2012,Toronto Blue Jays,@,3,4.5,D,20478
138,"Sunday, Sep 2",2012,Toronto Blue Jays,@,3,3.5,D,18568
139,"Monday, Sep 3",2012,New York Yankees,,3,2.5,D,28585
140,"Tuesday, Sep 4",2012,New York Yankees,,3,1.5,N,17652
141,"Wednesday, Sep 5",2012,New York Yankees,,3,2.5,N,16711
142,"Friday, Sep 7",2012,Texas Rangers,,3,2.0,N,19545
143,"Saturday, Sep 8",2012,Texas Rangers,,3,2.0,N,18702
144,"Sunday, Sep 9",2012,Texas Rangers,,3,2.0,D,20522
145,"Tuesday, Sep 11",2012,Baltimore Orioles,@,3,2.0,N,23828
146,"Wednesday, Sep 12",2012,Baltimore Orioles,@,3,3.0,N,26076
147,"Thursday, Sep 13",2012,Baltimore Orioles,@,3,4.0,D,25130
148,"Friday, Sep 14",2012,New York Yankees,@,3,3.0,N,45200
149,"Saturday, Sep 15",2012,New York Yankees,@,3,4.0,D,46856
150,"Sunday, Sep 16",2012,New York Yankees,@,3,5.0,D,43489
151,"Monday, Sep 17",2012,Boston Red Sox,,3,5.5,N,11722
152,"Tuesday, Sep 18",2012,Boston Red Sox,,3,6.0,N,11502
153,"Wednesday, Sep 19",2012,Boston Red Sox,,3,6.5,N,12708
154,"Thursday, Sep 20",2012,Boston Red Sox,,3,6.5,N,12963
155,"Friday, Sep 21",2012,Toronto Blue Jays,,3,6.5,N,14187
156,"Saturday, Sep 22",2012,Toronto Blue Jays,,3,6.5,N,15699
157,"Sunday, Sep 23",2012,Toronto Blue Jays,,3,5.5,D,18985
158,"Tuesday, Sep 25",2012,Boston Red Sox,@,3,5.0,N,37045
159,"Wednesday, Sep 26",2012,Boston Red Sox,@,3,5.0,N,37247
160,"Thursday, Sep 27",2012,Chicago White Sox,@,3,4.0,N,18630
161,"Friday, Sep 28",2012,Chicago White Sox,@,3,5.0,N,25264
162,"Saturday, Sep 29",2012,Chicago White Sox,@,3,4.0,D,26559
163,"Sunday, Sep 30",2012,Chicago White Sox,@,3,4.0,D,26831
165,"Monday, Oct 1",2012,Baltimore Orioles,,3,4.0,N,13666
166,"Tuesday, Oct 2",2012,Baltimore Orioles,,3,5.0,N,13460
167,"Wednesday, Oct 3",2012,Baltimore Orioles,,3,5.0,N,17909
0,"Tuesday, Apr 2",2013,Baltimore Orioles,,3,1.0,D,34078
1,"Wednesday, Apr 3",2013,Baltimore Orioles,,2,1.0,N,15599
2,"Thursday, Apr 4",2013,Baltimore Orioles,,3,1.0,D,17491
3,"Friday, Apr 5",2013,Cleveland Guardians,,3,1.0,N,16019
4,"Saturday, Apr 6",2013,Cleveland Guardians,,1,0.0,N,32217
5,"Sunday, Apr 7",2013,Cleveland Guardians,,2,1.0,D,21629
6,"Monday, Apr 8",2013,Texas Rangers,@,2,2.0,N,27355
7,"Tuesday, Apr 9",2013,Texas Rangers,@,4,2.5,N,31398
8,"Wednesday, Apr 10",2013,Texas Rangers,@,4,1.5,D,26643
9,"Saturday, Apr 13",2013,Boston Red Sox,@,5,2.0,D,33039
10,"Sunday, Apr 14",2013,Boston Red Sox,@,5,3.0,D,35198
11,"Monday, Apr 15",2013,Boston Red Sox,@,5,4.0,D,37449
12,"Tuesday, Apr 16",2013,Baltimore Orioles,@,5,5.0,N,14670
13,"Wednesday, Apr 17",2013,Baltimore Orioles,@,5,5.0,N,13591
14,"Thursday, Apr 18",2013,Baltimore Orioles,@,5,6.0,N,13986
15,"Friday, Apr 19",2013,Oakland Athletics,,5,5.5,N,15115
16,"Saturday, Apr 20",2013,Oakland Athletics,,4,5.5,N,25611
17,"Sunday, Apr 21",2013,Oakland Athletics,,4,4.0,D,25954
18,"Monday, Apr 22",2013,New York Yankees,,4,4.0,N,15331
19,"Tuesday, Apr 23",2013,New York Yankees,,4,4.0,N,17644
20,"Wednesday, Apr 24",2013,New York Yankees,,4,4.0,N,19177
21,"Thursday, Apr 25",2013,Chicago White Sox,@,4,5.0,N,15056
22,"Friday, Apr 26",2013,Chicago White Sox,@,4,6.0,N,20008
23,"Saturday, Apr 27",2013,Chicago White Sox,@,4,6.0,N,25270
24,"Sunday, Apr 28",2013,Chicago White Sox,@,4,6.0,D,22677
25,"Tuesday, Apr 30",2013,Kansas City Royals,@,4,6.0,N,12738
27,"Wednesday, May 1",2013,Kansas City Royals,@,4,7.0,N,11514
28,"Friday, May 3",2013,Colorado Rockies,@,4,6.5,N,30255
29,"Saturday, May 4",2013,Colorado Rockies,@,4,6.5,N,29099
30,"Sunday, May 5",2013,Colorado Rockies,@,4,5.5,D,39220
31,"Monday, May 6",2013,Toronto Blue Jays,,4,6.5,N,9952
32,"Tuesday, May 7",2013,Toronto Blue Jays,,4,6.5,N,10273
33,"Wednesday, May 8",2013,Toronto Blue Jays,,4,5.5,N,11075
34,"Thursday, May 9",2013,Toronto Blue Jays,,4,4.5,N,11979
35,"Friday, May 10",2013,San Diego Padres,,4,4.5,N,12424
36,"Saturday, May 11",2013,San Diego Padres,,4,4.5,N,18587
37,"Sunday, May 12",2013,San Diego Padres,,4,4.5,D,17396
38,"Tuesday, May 14",2013,Boston Red Sox,,4,4.5,N,15227
39,"Wednesday, May 15",2013,Boston Red Sox,,4,4.5,N,15767
40,"Thursday, May 16",2013,Boston Red Sox,,4,4.5,N,16055
41,"Friday, May 17",2013,Baltimore Orioles,@,4,4.5,N,38061
42,"Saturday, May 18",2013,Baltimore Orioles,@,4,4.5,D,34685
43,"Sunday, May 19",2013,Baltimore Orioles,@,3,4.0,D,37704
44,"Monday, May 20",2013,Toronto Blue Jays,@,3,5.0,D,29885
45,"Tuesday, May 21",2013,Toronto Blue Jays,@,3,4.0,N,15802
46,"Wednesday, May 22",2013,Toronto Blue Jays,@,4,4.0,D,18771
47,"Friday, May 24",2013,New York Yankees,,4,5.0,N,17825
48,"Saturday, May 25",2013,New York Yankees,,4,6.0,D,25874
49,"Sunday, May 26",2013,New York Yankees,,4,5.0,D,24159
50,"Monday, May 27",2013,Miami Marlins,,4,5.0,D,13025
51,"Tuesday, May 28",2013,Miami Marlins,,4,4.0,N,13876
52,"Wednesday, May 29",2013,Miami Marlins,@,4,3.0,N,16671
53,"Thursday, May 30",2013,Miami Marlins,@,4,3.0,N,23199
54,"Friday, May 31",2013,Cleveland Guardians,@,4,2.0,N,29603
56,"Saturday, Jun 1",2013,Cleveland Guardians,@,4,3.0,D,22748
57,"Sunday, Jun 2",2013,Cleveland Guardians,@,3,3.0,D,18106
58,"Tuesday, Jun 4",2013,Detroit Tigers,@,4,4.0,N,30569
59,"Wednesday, Jun 5",2013,Detroit Tigers,@,4,3.0,N,30005
60,"Thursday, Jun 6",2013,Detroit Tigers,@,4,4.0,D,36168
61,"Friday, Jun 7",2013,Baltimore Orioles,,4,3.5,N,13256
62,"Saturday, Jun 8",2013,Baltimore Orioles,,3,3.0,D,21834
63,"Sunday, Jun 9",2013,Baltimore Orioles,,4,4.0,D,19921
64,"Monday, Jun 10",2013,Boston Red Sox,,4,5.0,N,15477
65,"Tuesday, Jun 11",2013,Boston Red Sox,,4,4.0,N,16870
66,"Wednesday, Jun 12",2013,Boston Red Sox,,4,5.0,N,15091
67,"Thursday, Jun 13",2013,Kansas City Royals,,4,5.0,N,11398
68,"Friday, Jun 14",2013,Kansas City Royals,,4,5.0,N,13407
69,"Saturday, Jun 15",2013,Kansas City Royals,,4,5.0,D,18593
70,"Sunday, Jun 16",2013,Kansas City Royals,,4,5.0,D,27442
71,"Tuesday, Jun 18 (1)",2013,Boston Red Sox,@,4,7.0,D,33430
72,"Tuesday, Jun 18 (2)",2013,Boston Red Sox,@,4,7.0,N,32156
73,"Wednesday, Jun 19",2013,Boston Red Sox,@,4,6.0,N,35710
74,"Thursday, Jun 20",2013,New York Yankees,@,4,5.0,N,37649
75,"Friday, Jun 21",2013,New York Yankees,@,4,6.0,N,41123
76,"Saturday, Jun 22",2013,New York Yankees,@,4,6.0,D,46013
77,"Sunday, Jun 23",2013,New York Yankees,@,4,5.0,D,46054
78,"Monday, Jun 24",2013,Toronto Blue Jays,,4,4.5,N,11407
79,"Tuesday, Jun 25",2013,Toronto Blue Jays,,4,4.5,N,12041
80,"Wednesday, Jun 26",2013,Toronto Blue Jays,,4,5.5,D,21502
81,"Friday, Jun 28",2013,Detroit Tigers,,4,7.0,N,17645
82,"Saturday, Jun 29",2013,Detroit Tigers,,4,6.0,N,23809
83,"Sunday, Jun 30",2013,Detroit Tigers,,3,6.0,D,23427
85,"Monday, Jul 1",2013,Houston Astros,@,3,5.5,N,12722
86,"Tuesday, Jul 2",2013,Houston Astros,@,3,5.5,N,19631
87,"Wednesday, Jul 3",2013,Houston Astros,@,4,6.5,N,14143
88,"Thursday, Jul 4",2013,Houston Astros,@,4,6.5,D,20470
89,"Friday, Jul 5",2013,Chicago White Sox,,4,6.5,N,15825
90,"Saturday, Jul 6",2013,Chicago White Sox,,3,5.5,N,21047
91,"Sunday, Jul 7",2013,Chicago White Sox,,2,4.5,D,16832
92,"Monday, Jul 8",2013,Minnesota Twins,,2,3.5,N,11516
93,"Tuesday, Jul 9",2013,Minnesota Twins,,2,3.5,N,12777
94,"Wednesday, Jul 10",2013,Minnesota Twins,,2,3.5,N,12757
95,"Thursday, Jul 11",2013,Minnesota Twins,,2,3.5,D,24751
96,"Friday, Jul 12",2013,Houston Astros,,2,4.5,N,13347
97,"Saturday, Jul 13",2013,Houston Astros,,2,3.5,D,20409
98,"Sunday, Jul 14",2013,Houston Astros,,2,2.5,D,21180
99,"Friday, Jul 19",2013,Toronto Blue Jays,@,2,2.5,N,33266
100,"Saturday, Jul 20",2013,Toronto Blue Jays,@,2,1.5,D,42639
101,"Sunday, Jul 21",2013,Toronto Blue Jays,@,2,1.5,D,41247
102,"Monday, Jul 22",2013,Boston Red Sox,@,2,0.5,N,35016
103,"Tuesday, Jul 23",2013,Boston Red Sox,@,2,1.5,N,34609
104,"Wednesday, Jul 24",2013,Boston Red Sox,@,2,0.5,N,36514
105,"Friday, Jul 26",2013,New York Yankees,@,1,-0.5,N,44486
106,"Saturday, Jul 27",2013,New York Yankees,@,1,-0.5,D,43424
107,"Sunday, Jul 28",2013,New York Yankees,@,2,0.5,D,47714
108,"Monday, Jul 29",2013,Boston Red Sox,@,1,-0.5,N,37242
109,"Tuesday, Jul 30",2013,Arizona Diamondbacks,,1,-0.5,N,17402
110,"Wednesday, Jul 31",2013,Arizona Diamondbacks,,2,0.5,N,25095
112,"Friday, Aug 2",2013,San Francisco Giants,,2,1.0,N,20144
113,"Saturday, Aug 3",2013,San Francisco Giants,,2,1.0,N,31969
114,"Sunday, Aug 4",2013,San Francisco Giants,,2,1.0,D,34078
115,"Tuesday, Aug 6",2013,Arizona Diamondbacks,@,2,1.5,N,19458
116,"Wednesday, Aug 7",2013,Arizona Diamondbacks,@,2,2.5,N,18733
117,"Friday, Aug 9",2013,Los Angeles Dodgers,@,2,2.0,N,51083
118,"Saturday, Aug 10",2013,Los Angeles Dodgers,@,2,3.0,D,52619
119,"Sunday, Aug 11",2013,Los Angeles Dodgers,@,2,3.0,N,52248
120,"Tuesday, Aug 13",2013,Seattle Mariners,,2,4.0,N,13294
121,"Wednesday, Aug 14",2013,Seattle Mariners,,2,3.0,N,14910
122,"Thursday, Aug 15",2013,Seattle Mariners,,2,2.0,N,13299
123,"Friday, Aug 16",2013,Toronto Blue Jays,,2,1.0,N,15433
124,"Saturday, Aug 17",2013,Toronto Blue Jays,,2,2.0,N,25036
125,"Sunday, Aug 18",2013,Toronto Blue Jays,,2,1.0,D,23373
126,"Monday, Aug 19",2013,Baltimore Orioles,@,2,1.0,N,25044
127,"Tuesday, Aug 20",2013,Baltimore Orioles,@,1,0.0,N,26158
128,"Wednesday, Aug 21",2013,Baltimore Orioles,@,2,1.0,N,28323
129,"Friday, Aug 23",2013,New York Yankees,,1,0.0,N,24239
130,"Saturday, Aug 24",2013,New York Yankees,,1,0.0,N,32862
131,"Sunday, Aug 25",2013,New York Yankees,,2,1.0,D,34078
132,"Monday, Aug 26",2013,Kansas City Royals,@,2,1.5,D,20546
133,"Tuesday, Aug 27",2013,Los Angeles Angels,,2,2.5,N,12939
134,"Wednesday, Aug 28",2013,Los Angeles Angels,,2,2.5,N,13535
135,"Thursday, Aug 29",2013,Los Angeles Angels,,2,2.5,D,15741
136,"Friday, Aug 30",2013,Oakland Athletics,@,2,3.5,N,15603
137,"Saturday, Aug 31",2013,Oakland Athletics,@,2,4.5,N,35067
139,"Sunday, Sep 1",2013,Oakland Athletics,@,2,5.5,D,18639
140,"Monday, Sep 2",2013,Los Angeles Angels,@,2,5.5,N,37557
141,"Tuesday, Sep 3",2013,Los Angeles Angels,@,2,5.5,N,34332
142,"Wednesday, Sep 4",2013,Los Angeles Angels,@,2,5.5,N,34025
143,"Thursday, Sep 5",2013,Los Angeles Angels,@,2,6.5,N,34623
144,"Friday, Sep 6",2013,Seattle Mariners,@,2,7.5,N,14796
145,"Saturday, Sep 7",2013,Seattle Mariners,@,2,8.5,N,17773
146,"Sunday, Sep 8",2013,Seattle Mariners,@,2,7.5,D,18645
147,"Tuesday, Sep 10",2013,Boston Red Sox,,2,8.5,N,18605
148,"Wednesday, Sep 11",2013,Boston Red Sox,,2,9.5,N,19215
149,"Thursday, Sep 12",2013,Boston Red Sox,,2,8.5,N,20360
150,"Friday, Sep 13",2013,Minnesota Twins,@,2,8.5,N,27292
151,"Saturday, Sep 14",2013,Minnesota Twins,@,2,8.5,N,28541
152,"Sunday, Sep 15",2013,Minnesota Twins,@,2,9.5,D,27988
153,"Monday, Sep 16",2013,Texas Rangers,,2,9.0,N,10724
154,"Tuesday, Sep 17",2013,Texas Rangers,,2,9.0,N,10786
155,"Wednesday, Sep 18",2013,Texas Rangers,,2,8.0,N,14827
156,"Thursday, Sep 19",2013,Texas Rangers,,2,9.0,N,13550
157,"Friday, Sep 20",2013,Baltimore Orioles,,2,9.0,N,21247
158,"Saturday, Sep 21",2013,Baltimore Orioles,,2,8.0,D,23835
159,"Sunday, Sep 22",2013,Baltimore Orioles,,2,8.0,D,28974
160,"Monday, Sep 23",2013,Baltimore Orioles,,2,7.5,D,17830
161,"Tuesday, Sep 24",2013,New York Yankees,@,2,6.5,N,43407
162,"Wednesday, Sep 25",2013,New York Yankees,@,2,6.5,N,37260
163,"Thursday, Sep 26",2013,New York Yankees,@,2,6.0,N,48675
164,"Friday, Sep 27",2013,Toronto Blue Jays,@,2,7.0,N,27288
165,"Saturday, Sep 28",2013,Toronto Blue Jays,@,2,7.0,D,33232
166,"Sunday, Sep 29",2013,Toronto Blue Jays,@,2,6.0,D,44551
167,"Monday, Sep 30",2013,Texas Rangers,@,2,5.5,N,42796
0,"Monday, Mar 31",2014,Toronto Blue Jays,,1,0.0,D,31042
2,"Tuesday, Apr 1",2014,Toronto Blue Jays,,2,0.5,N,11113
3,"Wednesday, Apr 2",2014,Toronto Blue Jays,,4,1.0,N,10808
4,"Thursday, Apr 3",2014,Toronto Blue Jays,,2,0.5,N,9571
5,"Friday, Apr 4",2014,Texas Rangers,,1,-0.5,N,14304
6,"Saturday, Apr 5",2014,Texas Rangers,,1,-1.0,N,30364
7,"Sunday, Apr 6",2014,Texas Rangers,,1,-0.5,D,22569
8,"Monday, Apr 7",2014,Kansas City Royals,@,2,0.5,N,12087
9,"Tuesday, Apr 8",2014,Kansas City Royals,@,1,-0.5,N,13905
10,"Wednesday, Apr 9",2014,Kansas City Royals,@,2,0.5,D,13612
11,"Friday, Apr 11",2014,Cincinnati Reds,@,1,0.0,N,30502
12,"Saturday, Apr 12",2014,Cincinnati Reds,@,1,-1.0,D,35356
13,"Sunday, Apr 13",2014,Cincinnati Reds,@,1,0.0,D,34307
14,"Monday, Apr 14",2014,Baltimore Orioles,@,3,0.5,N,15799
15,"Wednesday, Apr 16",2014,Baltimore Orioles,@,4,2.0,D,22611
16,"Thursday, Apr 17",2014,New York Yankees,,4,3.0,N,28085
17,"Friday, Apr 18",2014,New York Yankees,,4,2.0,N,26079
18,"Saturday, Apr 19",2014,New York Yankees,,3,1.0,N,30159
19,"Sunday, Apr 20",2014,New York Yankees,,3,2.0,D,26462
20,"Tuesday, Apr 22",2014,Minnesota Twins,,3,2.0,N,11785
21,"Wednesday, Apr 23",2014,Minnesota Twins,,4,2.0,N,11993
22,"Thursday, Apr 24",2014,Minnesota Twins,,4,3.0,D,13177
23,"Friday, Apr 25",2014,Chicago White Sox,@,5,3.0,N,17210
24,"Saturday, Apr 26",2014,Chicago White Sox,@,4,3.0,N,22412
25,"Sunday, Apr 27",2014,Chicago White Sox,@,5,4.0,D,17313
26,"Monday, Apr 28",2014,Chicago White Sox,@,5,4.5,N,11268
27,"Tuesday, Apr 29",2014,Boston Red Sox,@,5,4.5,N,34794
29,"Thursday, May 1 (1)",2014,Boston Red Sox,@,4,3.0,D,35621
30,"Thursday, May 1 (2)",2014,Boston Red Sox,@,4,3.0,N,33465
31,"Friday, May 2",2014,New York Yankees,@,3,2.5,N,33580
32,"Saturday, May 3",2014,New York Yankees,@,4,3.0,D,43325
33,"Sunday, May 4",2014,New York Yankees,@,3,2.0,D,41122
34,"Tuesday, May 6",2014,Baltimore Orioles,,5,2.5,N,11855
35,"Wednesday, May 7",2014,Baltimore Orioles,,5,3.5,N,11282
36,"Thursday, May 8",2014,Baltimore Orioles,,5,4.5,N,11076
37,"Friday, May 9",2014,Cleveland Guardians,,5,5.5,N,17541
38,"Saturday, May 10",2014,Cleveland Guardians,,5,5.5,N,29212
39,"Sunday, May 11",2014,Cleveland Guardians,,5,5.5,D,23679
40,"Monday, May 12",2014,Seattle Mariners,@,5,5.5,N,12392
41,"Tuesday, May 13",2014,Seattle Mariners,@,5,4.5,N,13446
42,"Wednesday, May 14",2014,Seattle Mariners,@,5,3.5,D,20951
43,"Thursday, May 15",2014,Los Angeles Angels,@,5,4.5,N,34441
44,"Friday, May 16",2014,Los Angeles Angels,@,5,4.5,N,38796
45,"Saturday, May 17",2014,Los Angeles Angels,@,5,4.5,N,42224
46,"Sunday, May 18",2014,Los Angeles Angels,@,5,5.0,D,36655
47,"Tuesday, May 20",2014,Oakland Athletics,,5,5.5,N,11369
48,"Wednesday, May 21",2014,Oakland Athletics,,5,6.0,N,10555
49,"Thursday, May 22",2014,Oakland Athletics,,5,6.0,D,11257
50,"Friday, May 23",2014,Boston Red Sox,,4,6.0,N,20898
51,"Saturday, May 24",2014,Boston Red Sox,,4,6.0,D,23569
52,"Sunday, May 25",2014,Boston Red Sox,,4,6.0,D,26199
53,"Monday, May 26",2014,Toronto Blue Jays,@,4,7.0,N,15616
54,"Tuesday, May 27",2014,Toronto Blue Jays,@,4,8.0,N,15993
55,"Wednesday, May 28",2014,Toronto Blue Jays,@,5,9.0,N,17309
56,"Friday, May 30",2014,Boston Red Sox,@,5,8.5,N,35820
57,"Saturday, May 31",2014,Boston Red Sox,@,5,9.5,N,37076
59,"Sunday, Jun 1",2014,Boston Red Sox,@,5,10.5,D,37688
60,"Monday, Jun 2",2014,Miami Marlins,@,5,11.0,N,18155
61,"Tuesday, Jun 3",2014,Miami Marlins,@,5,12.0,N,21303
62,"Wednesday, Jun 4",2014,Miami Marlins,,5,13.0,N,10897
63,"Thursday, Jun 5",2014,Miami Marlins,,5,14.0,D,10442
64,"Friday, Jun 6",2014,Seattle Mariners,,5,14.0,N,14577
65,"Saturday, Jun 7",2014,Seattle Mariners,,5,14.0,D,23996
66,"Sunday, Jun 8",2014,Seattle Mariners,,5,14.0,D,18158
67,"Monday, Jun 9",2014,Seattle Mariners,,5,15.0,D,10400
68,"Tuesday, Jun 10",2014,St. Louis Cardinals,,5,15.0,N,17226
69,"Wednesday, Jun 11",2014,St. Louis Cardinals,,5,14.0,N,15930
70,"Friday, Jun 13",2014,Houston Astros,@,5,13.5,N,26829
71,"Saturday, Jun 14",2014,Houston Astros,@,5,13.5,D,26264
72,"Sunday, Jun 15",2014,Houston Astros,@,5,13.5,D,25526
73,"Monday, Jun 16",2014,Baltimore Orioles,,5,13.0,N,10576
74,"Tuesday, Jun 17",2014,Baltimore Orioles,,5,13.0,N,10803
75,"Wednesday, Jun 18",2014,Baltimore Orioles,,5,13.0,D,12448
76,"Thursday, Jun 19",2014,Houston Astros,,5,12.0,N,10880
77,"Friday, Jun 20",2014,Houston Astros,,5,13.0,N,13961
78,"Saturday, Jun 21",2014,Houston Astros,,5,12.0,D,17551
79,"Sunday, Jun 22",2014,Houston Astros,,5,11.0,D,13841
80,"Monday, Jun 23",2014,Pittsburg Pirates,,5,12.0,N,13175
81,"Tuesday, Jun 24",2014,Pittsburg Pirates,,5,13.0,N,14684
82,"Wednesday, Jun 25",2014,Pittsburg Pirates,,5,12.0,D,23761
83,"Friday, Jun 27 (1)",2014,Baltimore Orioles,@,5,12.0,D,15614
84,"Friday, Jun 27 (2)",2014,Baltimore Orioles,@,5,12.0,N,34895
85,"Saturday, Jun 28",2014,Baltimore Orioles,@,5,11.0,D,36387
86,"Sunday, Jun 29",2014,Baltimore Orioles,@,5,10.0,D,32665
87,"Monday, Jun 30",2014,New York Yankees,@,5,9.5,N,36052
89,"Tuesday, Jul 1",2014,New York Yankees,@,5,9.5,N,35866
90,"Wednesday, Jul 2",2014,New York Yankees,@,5,9.5,D,42343
91,"Thursday, Jul 3",2014,Detroit Tigers,@,5,9.5,N,33908
92,"Friday, Jul 4",2014,Detroit Tigers,@,5,9.0,N,40657
93,"Saturday, Jul 5",2014,Detroit Tigers,@,5,8.5,D,38087
94,"Sunday, Jul 6",2014,Detroit Tigers,@,4,8.5,N,31917
95,"Monday, Jul 7",2014,Kansas City Royals,,4,9.5,N,13406
96,"Tuesday, Jul 8",2014,Kansas City Royals,,4,9.0,N,12818
97,"Wednesday, Jul 9",2014,Kansas City Royals,,4,9.0,N,12150
98,"Friday, Jul 11",2014,Toronto Blue Jays,,5,10.5,N,17533
99,"Saturday, Jul 12",2014,Toronto Blue Jays,,4,9.5,D,22693
100,"Sunday, Jul 13",2014,Toronto Blue Jays,,4,9.5,D,17187
101,"Friday, Jul 18",2014,Minnesota Twins,@,4,8.5,N,31058
102,"Saturday, Jul 19",2014,Minnesota Twins,@,4,8.5,N,36117
103,"Sunday, Jul 20",2014,Minnesota Twins,@,4,7.5,D,26821
104,"Tuesday, Jul 22",2014,St. Louis Cardinals,@,4,8.0,N,43623
105,"Wednesday, Jul 23",2014,St. Louis Cardinals,@,4,7.0,N,43564
106,"Friday, Jul 25",2014,Boston Red Sox,,4,7.5,N,23136
107,"Saturday, Jul 26",2014,Boston Red Sox,,4,6.5,N,26659
108,"Sunday, Jul 27",2014,Boston Red Sox,,4,7.5,D,25221
109,"Monday, Jul 28",2014,Milwaukee Brewers,,4,7.0,N,12660
110,"Tuesday, Jul 29",2014,Milwaukee Brewers,,4,7.0,N,16249
111,"Wednesday, Jul 30",2014,Milwaukee Brewers,,4,8.0,D,24809
113,"Friday, Aug 1",2014,Los Angeles Angels,,4,8.5,N,20969
114,"Saturday, Aug 2",2014,Los Angeles Angels,,4,7.5,N,23656
115,"Sunday, Aug 3",2014,Los Angeles Angels,,4,8.5,D,25877
116,"Monday, Aug 4",2014,Oakland Athletics,@,4,9.5,N,18479
117,"Tuesday, Aug 5",2014,Oakland Athletics,@,4,10.5,N,16335
118,"Wednesday, Aug 6",2014,Oakland Athletics,@,4,9.5,D,21513
119,"Friday, Aug 8",2014,Chicago Cubs,@,4,10.0,D,34937
120,"Saturday, Aug 9",2014,Chicago Cubs,@,4,10.0,D,36739
121,"Sunday, Aug 10",2014,Chicago Cubs,@,4,10.0,D,33039
122,"Monday, Aug 11",2014,Texas Rangers,@,4,10.0,N,28501
123,"Tuesday, Aug 12",2014,Texas Rangers,@,4,10.5,N,35642
124,"Wednesday, Aug 13",2014,Texas Rangers,@,4,10.5,N,29870
125,"Thursday, Aug 14",2014,Texas Rangers,@,4,10.0,N,28904
126,"Friday, Aug 15",2014,New York Yankees,,4,9.0,N,26535
127,"Saturday, Aug 16",2014,New York Yankees,,4,9.0,D,31042
128,"Sunday, Aug 17",2014,New York Yankees,,4,10.0,D,28812
